задача,признаки,модель,accuracy,macro_F1,AUC
en: human vs ai,Profiling-UD,LogReg,0.842,0.8419955056499384,0.9189837777777778
en: human vs ai,Profiling-UD,SVM,0.841,0.8409253232767604,0.9209922222222221
en: human vs ai,Profiling-UD,RF,0.8116666666666666,0.8115425150635347,0.8934797777777779
en: human vs ai,Profiling-UD,XGBoost,0.836,0.8359647141874075,0.9137535555555555
en: human vs ai,"Profiling-UD, информативные",LogReg,0.813,0.812990836550991,0.8827344444444445
en: human vs ai,"Profiling-UD, информативные",SVM,0.8113333333333334,0.8112474299414489,0.8785224444444444
en: human vs ai,"Profiling-UD, информативные",RF,0.803,0.8029595191278742,0.8752668888888888
en: human vs ai,"Profiling-UD, информативные",XGBoost,0.7986666666666666,0.7986437568007738,0.8745091111111111
en: human vs ai,LM и лексика,LogReg,0.719,0.7189984701027816,0.7857828888888889
en: human vs ai,LM и лексика,SVM,0.722,0.7218570963570616,0.7841388888888888
en: human vs ai,LM и лексика,RF,0.7026666666666667,0.702522687647488,0.765900888888889
en: human vs ai,LM и лексика,XGBoost,0.6936666666666667,0.69355604039725,0.7640468888888889
en: human vs ai,Profiling-UD + LM и лексика,LogReg,0.863,0.862998766988903,0.9383544444444444
en: human vs ai,Profiling-UD + LM и лексика,SVM,0.867,0.8669336294514007,0.9400051111111112
en: human vs ai,Profiling-UD + LM и лексика,RF,0.831,0.8308998739364675,0.9098597777777777
en: human vs ai,Profiling-UD + LM и лексика,XGBoost,0.8563333333333333,0.8563199072268864,0.9328882222222223
en: human vs ai,только длина,LogReg,0.5136666666666667,0.512261926822797,0.5134737777777778
en: human vs ai,только длина,SVM,0.5806666666666667,0.573076923076923,0.6020746666666666
en: human vs ai,только длина,RF,0.5413333333333333,0.5412988797825259,0.5515144444444444
en: human vs ai,только длина,XGBoost,0.5146666666666667,0.5142098079794153,0.5250315555555556
en: human vs ai,TF-IDF слов,LogReg,0.948,0.9479629959082014,0.9839175555555556
en: human / ai / hybrid,Profiling-UD,LogReg,0.6006666666666667,0.5944998320746507,0.7814942222222222
en: human / ai / hybrid,Profiling-UD,SVM,0.5971111111111111,0.5849659640031912,0.7795936296296295
