признак,mean_human,mean_ai,r_pb,cliff_d,p,p_fdr,эффект
char_per_tok,5.331652556382888,5.785775530476705,0.5038988454238071,0.5980173333333333,6.003106248167073e-177,5.522857748313708e-175,большой
upos_dist_AUX,3.959472587728064,2.6158343659374172,-0.43526632094325507,-0.5207057777777778,1.2058975467517304e-134,5.54712871505796e-133,большой
dep_dist_cop,1.2389140126543967,0.6301558739926776,-0.3701420793053938,-0.43633422222222223,4.718595381480699e-96,1.4470359169874144e-94,средний
ttr_lemma_chunks_100,0.6813915732959851,0.721676230464194,0.35799293298967216,0.4187038006245185,9.175872662795446e-84,1.688360569954362e-82,средний
lexical_density,0.5898365791285438,0.6239807932110317,0.3525424867524767,0.41700088888888887,4.71708643678642e-87,1.0849298804608767e-85,средний
ttr_lemma_chunks_200,0.5881394389438944,0.6240359168241966,0.336609939136287,0.39728112697848234,6.258514749631748e-31,2.6171970771187307e-30,средний
ttr_form_chunks_100,0.712014472455649,0.7454843713552601,0.30984443445573573,0.3649243462255441,4.3566655809268665e-64,6.680220557421196e-63,средний
ttr_form_chunks_200,0.623296204620462,0.6542722117202269,0.30118609951141684,0.35637949428213145,3.2640078582053353e-25,1.2011548918195634e-24,средний
avg_verb_edges,2.810168286286123,2.539220015650765,-0.2852721396313148,-0.3393213333333333,2.8335009230536208e-58,3.724029784584758e-57,средний
verbal_root_perc,77.66231907681664,87.6708411958412,0.300644271930814,0.3311662222222222,1.2282747045296141e-57,1.4125159102090562e-56,средний
dep_dist_aux:pass,1.3636966261370314,0.9045771493829016,-0.25926817576472544,-0.3161764444444444,5.731370511474626e-51,5.858734300618507e-50,малый
verbs_verbform_dist_Fin,45.3955906191755,40.116365618124426,-0.26661602230145626,-0.31287377777777775,7.958773265756025e-50,7.322071404495543e-49,малый
verbs_verbform_dist_Ger,6.210143681170499,9.685151568982086,0.2627615366869265,0.3103248888888889,2.11547729280093e-49,1.7693082812516866e-48,малый
verbs_verbform_dist_Part,33.31594147772405,38.78666787640245,0.24968816823854237,0.2974266666666667,3.4095535531464285e-45,2.613991057412262e-44,малый
dep_dist_acl,1.1118018260794174,1.55644841449931,0.24679761666991268,0.296196,7.634540708551257e-45,5.402905732205505e-44,малый
dep_dist_obj,3.3204271215479495,4.144944022710431,0.24424590347720948,0.28445155555555557,1.7795503772218934e-41,1.1694188193172442e-40,малый
dep_dist_nsubj:pass,1.2138899007749782,0.8430081522112244,-0.22423684164806007,-0.27065422222222224,7.239940072656358e-38,4.4404965778959e-37,малый
principal_proposition_dist,51.94402365962472,46.75759032336477,-0.2346220021081441,-0.26671333333333336,9.805072500850768e-37,5.011481500434837e-36,малый
subordinate_proposition_dist,48.05597634037527,53.24240967663523,0.23462200210814416,0.26671333333333336,9.805072500850768e-37,5.011481500434837e-36,малый
dep_dist_advcl,1.276934251620325,1.7073181463680915,0.22685406933393304,0.2655017777777778,2.2724059858215646e-36,1.1003228983978102e-35,малый
upos_dist_VERB,8.140800473770414,9.15940584225351,0.23006462533961264,0.2641031111111111,5.4203111597033566e-36,2.493343133463544e-35,малый
verbs_verbform_dist_Inf,15.078324221929938,11.411814936491036,-0.21624031458623316,-0.25077955555555553,1.2004963543315376e-32,5.259317361833403e-32,малый
